id,original_text,clean_text,original_label,label,language_type,text_length,word_count,duplicate_flag,label_conflict,suspicious_subtitle,removal_reason
12999,eya me sten eka karanna thibune nehe eya pissuwen wage sadharana lesa oba howard gena katha karanne kumak deyi mama nodanimi,eya me sten eka karanna thibune nehe eya pissuwen wage sadharana lesa oba howard gena katha karanne kumak deyi mama nodanimi,,,Singlish,124,21,False,False,False,
13000,howard meri apage lipigonu sorakam kara ewa newatha minisunta yawanawa gena oba katha karanne kumak deyi mama nodanimi,howard meri apage lipigonu sorakam kara ewa newatha minisunta yawanawa gena oba katha karanne kumak deyi mama nodanimi,,,Singlish,118,18,False,False,False,
13001,hayi mama asalwesi pradeshayaka siti athara mama sithuwemi ohu sammanthranayaka sitina bawa mama sithami awasanawantha lesa mata eththatama kanagatuyi,hayi mama asalwesi pradeshayaka siti athara mama sithuwemi ohu sammanthranayaka sitina bawa mama sithami awasanawantha lesa mata eththatama kanagatuyi,,,Singlish,150,19,False,False,False,
13003,mama mehi sitina thak oba kisi witekath nodanna ohuwa uthsaha karanawada karunakara oba asun ganna,mama mehi sitina thak oba kisi witekath nodanna ohuwa uthsaha karanawada karunakara oba asun ganna,,,Singlish,98,15,False,False,False,
13004,mema potha minisun kiyaweema athyawashya wanne eya sathyaya wana nisath samahara wita niwaduwen pasuwa eya danne ma pamani,mema potha minisun kiyaweema athyawashya wanne eya sathyaya wana nisath samahara wita niwaduwen pasuwa eya danne ma pamani,,,Singlish,122,18,False,False,False,
13005,wolteeyathawa hondin penena athara sambandhatha pareeksha karanna,wolteeyathawa hondin penena athara sambandhatha pareeksha karanna,,,Singlish,65,7,False,False,False,
13006,eya udaw karayida ow eya wada honda penumak etha,eya udaw karayida ow eya wada honda penumak etha,,,Singlish,48,9,False,False,False,
13007,mata awashya wuye mama merita kemathiyi eya beleemata ena wita mama kemathiyi eya mata kemathi yeyi mama nosithami,mata awashya wuye mama merita kemathiyi eya beleemata ena wita mama kemathiyi eya mata kemathi yeyi mama nosithami,,,Singlish,114,18,False,False,False,
13008,mama merita kemathiyi eya beleemata ena wita mama kemathiyi eya mata kemathi yeyi mama nosithami eya obata kemathiyi,mama merita kemathiyi eya beleemata ena wita mama kemathiyi eya mata kemathi yeyi mama nosithami eya obata kemathiyi,,,Singlish,116,18,False,False,False,
13011,oyata puluwan oyata ona nam mama oyata kiwwa mata aluth pemwathiyak innawa kiyala,oyata puluwan oyata ona nam mama oyata kiwwa mata aluth pemwathiyak innawa kiyala,,,Singlish,81,13,False,False,False,
13012,mama oyata kiwwada mata aluth pemwathiyak innawa meke ithihasaya idiriyata yanawa kiyala,mama oyata kiwwada mata aluth pemwathiyak innawa meke ithihasaya idiriyata yanawa kiyala,,,Singlish,88,12,False,False,False,
13013,me ekage ithihasaya me karanaya matha gaman karanawa mage thathwaya tikak amuthuyi mage pemwathiyage thathwaya,me ekage ithihasaya me karanaya matha gaman karanawa mage thathwaya tikak amuthuyi mage pemwathiyage thathwaya,,,Singlish,110,15,False,False,False,
13014,karanaya nam mage thathwaya tikak amuthuyi mage pemwathiyage thathwaya petrik api awadhanaya yomu kala yuthuyi,karanaya nam mage thathwaya tikak amuthuyi mage pemwathiyage thathwaya petrik api awadhanaya yomu kala yuthuyi,,,Singlish,110,15,False,False,False,
13015,mata obata yamak pewasiya yuthuwa etha mama eeye rathriye eya samanga adarayen bendee sitiyaya eya sihisunwa sitiyaya,mata obata yamak pewasiya yuthuwa etha mama eeye rathriye eya samanga adarayen bendee sitiyaya eya sihisunwa sitiyaya,,,Singlish,117,17,False,False,False,
13020,petrik api inne eya meda hariye asalwesi pradeshaye eya kalabalayi,petrik api inne eya meda hariye asalwesi pradeshaye eya kalabalayi,,,Singlish,66,10,False,False,False,
13021,mata eya hesirawiya hekiya ohu boho durata swayankreeya guwan niyamuweku matha sitee sthuthiyi sten mama obata nayagethiyi,mata eya hesirawiya hekiya ohu boho durata swayankreeya guwan niyamuweku matha sitee sthuthiyi sten mama obata nayagethiyi,,,Singlish,122,17,False,False,False,
13024,mokakda e oralosu weda,mokakda e oralosu weda,,,Singlish,22,4,False,False,False,
13025,oralosu weda oralosu weda,oralosu weda oralosu weda,,,Singlish,25,4,False,False,False,
13026,oba wishwasa karanne kumakda ewita hah ho ho saha hee hee,oba wishwasa karanne kumakda ewita hah ho ho saha hee hee,,,Singlish,57,11,False,False,False,
13027,hema deyakma naraka athata herenawa ow hema deyakma naraka athata herenawa namuth hema deyakma honda athata herenawa,hema deyakma naraka athata herenawa ow hema deyakma naraka athata herenawa namuth hema deyakma honda athata herenawa,,,Singlish,116,17,False,False,False,
13028,eyata kensas nagarayata ek margayakata prawesha pathrayak thibuni oba adahas karanne eya miya gos ethi bawayi,eyata kensas nagarayata ek margayakata prawesha pathrayak thibuni oba adahas karanne eya miya gos ethi bawayi,,,Singlish,109,16,False,False,False,
13029,eth eka parana kathawak den mata wishwasa karanna be oya lesiyen bat eka dala yayi kiyala,eth eka parana kathawak den mata wishwasa karanna be oya lesiyen bat eka dala yayi kiyala,,,Singlish,89,16,False,False,False,
13032,mama newathee sitinne ma danna ganikawa samanga namuth oba niw york wetha noyana wita oba padinchi wanne koheda,mama newathee sitinne ma danna ganikawa samanga namuth oba niw york wetha noyana wita oba padinchi wanne koheda,,,Singlish,111,18,False,False,False,
13033,mama dannawa namuth oba niw york wetha noyana wita oba padinchiwa sitinne kohedeyi mama nodanimi,mama dannawa namuth oba niw york wetha noyana wita oba padinchiwa sitinne kohedeyi mama nodanimi,,,Singlish,96,15,False,False,False,
13034,mama nehe oba nehe,mama nehe oba nehe,,,Singlish,18,4,False,False,False,
13035,obata hondin netha mama wisheshayen kohewath padinchi nowemi mama digatama gaman karami,obata hondin netha mama wisheshayen kohewath padinchi nowemi mama digatama gaman karami,,,Singlish,87,12,False,False,False,
13036,sancharakayek mama eya sancharayak lesa nosithuwath oba ese pewasiya hekiya,sancharakayek mama eya sancharayak lesa nosithuwath oba ese pewasiya hekiya,,,Singlish,75,10,False,False,False,
13038,e gena mata kiyanna,e gena mata kiyanna,,,Singlish,19,4,False,False,False,
13039,ne mama hithanne mathdrawya nobona eka moda wachanayak,ne mama hithanne mathdrawya nobona eka moda wachanayak,,,Singlish,54,8,False,False,False,
13043,hondayi adaraneeya juliyan oba mata kiyanna adahas karanne oba eya laba gaththe nethi bawayi,hondayi adaraneeya juliyan oba mata kiyanna adahas karanne oba eya laba gaththe nethi bawayi,,,Singlish,92,14,False,False,False,
13045,oh eya kage waradinda apata eya nolebuni,oh eya kage waradinda apata eya nolebuni,,,Singlish,40,7,False,False,False,
13046,kage waradakda mama hithanne eya mage wiya ow eya niyatha washayenma mage waradaki,kage waradakda mama hithanne eya mage wiya ow eya niyatha washayenma mage waradaki,,,Singlish,82,13,False,False,False,
13049,menna mama wayu sameekarana yanthraya prathikshepa karannam eya wayu sameekarana yanthraya nowe mawa seethala karanne kisiwak mehi chalanaya nowe obe kurullan pawa,menna mama wayu sameekarana yanthraya prathikshepa karannam eya wayu sameekarana yanthraya nowe mawa seethala karanne kisiwak mehi chalanaya nowe obe kurullan pawa,,,Singlish,163,22,False,False,False,
13050,oya mokada karanne endagena mata yanna one,oya mokada karanne endagena mata yanna one,,,Singlish,42,7,False,False,False,
13051,mata juliyan yanna wenawa eyi oya yanna ona,mata juliyan yanna wenawa eyi oya yanna ona,,,Singlish,43,8,False,False,False,
13052,uthurata yamin oba ottu allanne obe ralu sudu buruwa mama ya,uthurata yamin oba ottu allanne obe ralu sudu buruwa mama ya,,,Singlish,60,11,False,False,False,
13053,oba pradarshana wyaparayaka yedee sitinawada mama warak sarthaka nirupikawak,oba pradarshana wyaparayaka yedee sitinawada mama warak sarthaka nirupikawak,,,Singlish,76,9,False,False,False,
13054,mama warak sangara sandaha sarthaka nirupikawak wiya,mama warak sangara sandaha sarthaka nirupikawak wiya,,,Singlish,52,7,False,False,False,
13058,mama thamayi hondama oya hondama,mama thamayi hondama oya hondama,,,Singlish,32,5,False,False,False,
13061,ma ohu wenuwen penee siteemata obata awashya nethinam mata ohuwa thanikarama paudgalikawa hamuweemata awashya wanne eyida yanna obata awashya wanne oba ekineka sathutu wanu etheyi mama wishwasa karami,ma ohu wenuwen penee siteemata obata awashya nethinam mata ohuwa thanikarama paudgalikawa hamuweemata awashya wanne eyida yanna obata awashya wanne oba ekineka sathutu wanu etheyi mama wishwasa karami,,,Singlish,200,28,False,False,False,
13062,thanikarama pudgalikawa mama wishwasa karanawa oba ekineka rasawindina namuth ganan gatha heki bawa,thanikarama pudgalikawa mama wishwasa karanawa oba ekineka rasawindina namuth ganan gatha heki bawa,,,Singlish,99,13,False,False,False,
13064,mema diya sayam shilpiya saha mama prema sambandhayak godananga ganu etheyi oba sithanne kumak nisadeyi mata sahathika wiya noheka namuth obata ahimi weemata eththe kumakda,mema diya sayam shilpiya saha mama prema sambandhayak godananga ganu etheyi oba sithanne kumak nisadeyi mata sahathika wiya noheka namuth obata ahimi weemata eththe kumakda,,,Singlish,172,25,False,False,False,
13067,sidu wu deya newa pupurawa heriye nethnam owun obawa ewwe mandeyi mata pene,sidu wu deya newa pupurawa heriye nethnam owun obawa ewwe mandeyi mata pene,,,Singlish,75,13,False,False,False,
13068,obata thawamath kambaya awashyayi mama sithuwe oba nahara wala ayis ethi abhyawakasha minisek kiyayi,obata thawamath kambaya awashyayi mama sithuwe oba nahara wala ayis ethi abhyawakasha minisek kiyayi,,,Singlish,100,14,False,False,False,
13069,oya kopi karanawada ah ow kop mama thama methana,oya kopi karanawada ah ow kop mama thama methana,,,Singlish,48,9,False,False,False,
13070,ah ow kop mama thama methana inne jarawa oya inna thena eka karanna epa,ah ow kop mama thama methana inne jarawa oya inna thena eka karanna epa,,,Singlish,71,14,False,False,False,
13073,ape niwadu awalangu karala apiwa mokak hari gon meheyumakata yawanna hemoma kata wahagena inna minihata katha karanna,ape niwadu awalangu karala apiwa mokak hari gon meheyumakata yawanna hemoma kata wahagena inna minihata katha karanna,,,Singlish,117,17,False,False,False,
13074,wasara hathakata pasuwath karya mandalaya jeewathun athara sitiya heki bawa obata eththu gos etha,wasara hathakata pasuwath karya mandalaya jeewathun athara sitiya heki bawa obata eththu gos etha,,,Singlish,97,14,False,False,False,
13075,enna nayakaya mama denatamath obata mage sapaththu dama etha eewa kop one tharam thibe yamak siduwuwahoth eya jastin newathumpole rendee sitinna,enna nayakaya mama denatamath obata mage sapaththu dama etha eewa kop one tharam thibe yamak siduwuwahoth eya jastin newathumpole rendee sitinna,,,Singlish,144,21,False,False,False,
13076,obata one tharam eewa kop thibuna,obata one tharam eewa kop thibuna,,,Singlish,33,6,False,False,False,
13077,api langa minihek innawa oya koheda inne,api langa minihek innawa oya koheda inne,,,Singlish,40,7,False,False,False,
13080,eth mama eyawa gannam,eth mama eyawa gannam,,,Singlish,21,4,False,False,False,
13081,guruthwakarshana dhawakaya oba guruthwakarshana yahana sakas kireemata pera kisima miniseku nogiya thenata yayi mama ema pupurana drawya athin sannaddha kireemata yannemi,guruthwakarshana dhawakaya oba guruthwakarshana yahana sakas kireemata pera kisima miniseku nogiya thenata yayi mama ema pupurana drawya athin sannaddha kireemata yannemi,,,Singlish,170,21,False,False,False,
13082,kapithan milar api mage gamane klak mardanaya kireemata sudanam,kapithan milar api mage gamane klak mardanaya kireemata sudanam,,,Singlish,63,9,False,False,False,
13083,oba guruthwakarshana yahana sudanam karanna mama ema pupurana drawya athin sannaddha kireemata yannemi eya kriyathmaka we,oba guruthwakarshana yahana sudanam karanna mama ema pupurana drawya athin sannaddha kireemata yannemi eya kriyathmaka we,,,Singlish,121,16,False,False,False,
13084,eya kriya karayida eya tenki pereemata kriya kaleya,eya kriya karayida eya tenki pereemata kriya kaleya,,,Singlish,51,8,False,False,False,
13087,babal kulunata sidu wu de oba dannawa neda oba eya bimata wetune obe mishranaye ethi nayitrajan pramanayata wada ura bomin,babal kulunata sidu wu de oba dannawa neda oba eya bimata wetune obe mishranaye ethi nayitrajan pramanayata wada ura bomin,,,Singlish,122,20,False,False,False,
13089,eya allagena sitinne eya allagena sitimu,eya allagena sitinne eya allagena sitimu,,,Singlish,40,6,False,False,False,
13092,eya kisiwak nothibunak men wu athara pasuwa jastin penee siti athara haraya loha bawata path wiya ohu ese nokaleya,eya kisiwak nothibunak men wu athara pasuwa jastin penee siti athara haraya loha bawata path wiya ohu ese nokaleya,,,Singlish,114,19,False,False,False,
13093,ne eya ne oya ethana hitiye ne mama eka dekka,ne eya ne oya ethana hitiye ne mama eka dekka,,,Singlish,45,10,False,False,False,
13094,jastinta mokada wune kiyala mama danne nehe mama oyata kiyanawa mama eka dekka kiyala,jastinta mokada wune kiyala mama danne nehe mama oyata kiyanawa mama eka dekka kiyala,,,Singlish,85,14,False,False,False,
13097,mokada wenne mama danne nehe thira merilada kiyala,mokada wenne mama danne nehe thira merilada kiyala,,,Singlish,50,8,False,False,False,
13098,eya pirinemeemak nowe,eya pirinemeemak nowe,,,Singlish,21,3,False,False,False,
13099,mata husma ganna denna mata husma ganna denna oyata saneepayi den eka iwarayi,mata husma ganna denna mata husma ganna denna oyata saneepayi den eka iwarayi,,,Singlish,77,13,False,False,False,
13100,palama nethi wu akaraya injineru widyawa gena magak thibiya yuthuya,palama nethi wu akaraya injineru widyawa gena magak thibiya yuthuya,,,Singlish,67,10,False,False,False,
13101,injineru widyawa gena obata eya wasa demiya heki kramayak thibiya yuthuya,injineru widyawa gena obata eya wasa demiya heki kramayak thibiya yuthuya,,,Singlish,73,11,False,False,False,
13103,kriyawaliya mama nodanimi doktar vir wisheshagnaya wuye mata awasan karya mandalaya giya thenata yamata awashya netha mama merennata wada kemathiyi,kriyawaliya mama nodanimi doktar vir wisheshagnaya wuye mata awasan karya mandalaya giya thenata yamata awashya netha mama merennata wada kemathiyi,,,Singlish,147,20,False,False,False,
13105,ohu jeewath wanu etha api eya newatha laba gaththoth api eya sadamu,ohu jeewath wanu etha api eya newatha laba gaththoth api eya sadamu,,,Singlish,67,12,False,False,False,
13106,eya kumakda mama sampreshanayata sawan dee siti athara hustan pariwarthanayedee wereddak kara etheyi mama sithami,eya kumakda mama sampreshanayata sawan dee siti athara hustan pariwarthanayedee wereddak kara etheyi mama sithami,,,Singlish,113,15,False,False,False,
13107,owun sithuwe eya nidahase ma beraganna yeyi pewasuwada eya ma nowe eya obama bera ganna eya wipathak nowe eya anathuru engaweemak lesa hendinwe,owun sithuwe eya nidahase ma beraganna yeyi pewasuwada eya ma nowe eya obama bera ganna eya wipathak nowe eya anathuru engaweemak lesa hendinwe,,,Singlish,143,23,False,False,False,
13108,eya wipathak nowe eya naraka athata herena anathuru engaweemaki,eya wipathak nowe eya naraka athata herena anathuru engaweemaki,,,Singlish,63,9,False,False,False,
13113,mokada une amuthuwen eya koridowe thibunu pupurana drawyawalin ekak pawichchi kala,mokada une amuthuwen eya koridowe thibunu pupurana drawyawalin ekak pawichchi kala,,,Singlish,82,11,False,False,False,
13116,ane dewiyane maranna,ane dewiyane maranna,,,Singlish,20,3,False,False,False,
13117,mokakda awula mokuth ne mokuth ne,mokakda awula mokuth ne mokuth ne,,,Singlish,33,6,False,False,False,
13118,mokada wenne widuli kanduwak,mokada wenne widuli kanduwak,,,Singlish,28,4,False,False,False,
13119,oba eya esuwe nethi warada kumakda oba eya asa ethi,oba eya esuwe nethi warada kumakda oba eya asa ethi,,,Singlish,51,10,False,False,False,
13125,sthuthiyi mata sthuthi karanna epa mama obata kisima udawwak karanne nehe,sthuthiyi mata sthuthi karanna epa mama obata kisima udawwak karanne nehe,,,Singlish,73,11,False,False,False,
13127,oyage hithe thiyena de eya dannawada,oyage hithe thiyena de eya dannawada,,,Singlish,36,6,False,False,False,
13128,eya miya gos wasara dekak gatha wee etha ohu obata nogelapena samahara de ikmawa etha,eya miya gos wasara dekak gatha wee etha ohu obata nogelapena samahara de ikmawa etha,,,Singlish,85,15,False,False,False,
13129,mata me sandaha ape hondama minisun awashyayi milar da luwis saha klak eya hatharawana bokkehi nenguram la ethi grahaka theeraye mura sancharaye yedee sita apasu peminiyaha,mata me sandaha ape hondama minisun awashyayi milar da luwis saha klak eya hatharawana bokkehi nenguram la ethi grahaka theeraye mura sancharaye yedee sita apasu peminiyaha,,,Singlish,172,26,False,False,False,
13130,obata penwana de eya nawathwanne netha eya digatama karagena yayi,obata penwana de eya nawathwanne netha eya digatama karagena yayi,,,Singlish,65,10,False,False,False,
13131,eya nawathwanne netha eya digatama karagena yana athara karanne kumakda yannayi,eya nawathwanne netha eya digatama karagena yana athara karanne kumakda yannayi,,,Singlish,79,11,False,False,False,
13133,eya ethule ethi athara ethulatha andura kisiwak ithiri nowana thek eya anubhawa karayi mata therenne netha,eya ethule ethi athara ethulatha andura kisiwak ithiri nowana thek eya anubhawa karayi mata therenne netha,,,Singlish,106,16,False,False,False,
13134,ethule thiyena andura mata anith thenin therenne ne,ethule thiyena andura mata anith thenin therenne ne,,,Singlish,51,8,False,False,False,
13135,oya kohomada me hemadema danne mama heduwe,oya kohomada me hemadema danne mama heduwe,,,Singlish,42,7,False,False,False,
13136,oba prathama bahalum mudrawata langa wee eththe injineru thattu anek peththe ya,oba prathama bahalum mudrawata langa wee eththe injineru thattu anek peththe ya,,,Singlish,79,12,False,False,False,
13139,mama yana injineru widyawen obbata ethi dewana bahalum mudrawa eyayi,mama yana injineru widyawen obbata ethi dewana bahalum mudrawa eyayi,,,Singlish,68,10,False,False,False,
13140,mage puwaruwe ethi siyalla kola patayi nayakaya ganan kireema arambha karanna,mage puwaruwe ethi siyalla kola patayi nayakaya ganan kireema arambha karanna,,,Singlish,77,11,False,False,False,
13142,namuth mata methanin yanna behe nayakaya karunakara jastin mama obata merenna denne nehe,namuth mata methanin yanna behe nayakaya karunakara jastin mama obata merenna denne nehe,,,Singlish,88,13,False,False,False,
13145,karya mandalayata owun thawamath jeewathun athara sitiya hekida newe jeewa adharaka paddhathi masa dahaatak thibee etha owun gos wasara hathak gatha wee etha,karya mandalayata owun thawamath jeewathun athara sitiya hekida newe jeewa adharaka paddhathi masa dahaatak thibee etha owun gos wasara hathak gatha wee etha,,,Singlish,157,23,False,False,False,
13149,apata peedanaya pehedili saha mage lakuna matha thuna deka eka lakunak wiwtha kara etha,apata peedanaya pehedili saha mage lakuna matha thuna deka eka lakunak wiwtha kara etha,,,Singlish,87,14,False,False,False,
13151,eyin adahas wanne owun newa athheriye nethi nisa owun jaiwa sken samanga wasanawa soya ganne koheda yannayi,eyin adahas wanne owun newa athheriye nethi nisa owun jaiwa sken samanga wasanawa soya ganne koheda yannayi,,,Singlish,107,17,False,False,False,
13152,peetars hari methana kawuruth ne mama danne ne me thena eththatama anduruyi kiyala mata deyak penne nehe,peetars hari methana kawuruth ne mama danne ne me thena eththatama anduruyi kiyala mata deyak penne nehe,,,Singlish,104,17,False,False,False,
13154,kohen hari le awa peetars methana kawuruth ne nayaka,kohen hari le awa peetars methana kawuruth ne nayaka,,,Singlish,52,9,False,False,False,
13155,hari mama palama uda inne oyata lebunu peetars,hari mama palama uda inne oyata lebunu peetars,,,Singlish,46,8,False,False,False,
13156,balaya ithiri kara ganimin siyalla wasa etha,balaya ithiri kara ganimin siyalla wasa etha,,,Singlish,44,7,False,False,False,
13157,jastin wikirana kanduweem sandaha ethi bahalum pareeksha karanna peetars sewadayakaya keseda,jastin wikirana kanduweem sandaha ethi bahalum pareeksha karanna peetars sewadayakaya keseda,,,Singlish,92,11,False,False,False,
13160,nayaka peetars,nayaka peetars,,,Singlish,14,2,False,False,False,
13161,peetars oya hondin,peetars oya hondin,,,Singlish,18,3,False,False,False,
13162,oba hondin ow mama hondin,oba hondin ow mama hondin,,,Singlish,25,5,False,False,False,
13165,peetars apata eya siduweemata pera karya mandalayata siduwuye kumakdeyi apa denagatha yuthuya,peetars apata eya siduweemata pera karya mandalayata siduwuye kumakdeyi apa denagatha yuthuya,,,Singlish,93,12,False,False,False,
13166,api nepchun awakashayata langa wu pasu oba saha karya mandalaya denuwath kireemata mata balaya etha,api nepchun awakashayata langa wu pasu oba saha karya mandalaya denuwath kireemata mata balaya etha,,,Singlish,99,15,False,False,False,
13167,pahugiya awurudu hathe koheda hitiye eka thamayi api methanata awe,pahugiya awurudu hathe koheda hitiye eka thamayi api methanata awe,,,Singlish,66,10,False,False,False,
13169,eya injinerumaya sangrahaya wana athara ehi pradhana guwan agula apata dok kala heki smith atha bhawitha kara ema entena pokurata apawa agulu demiya hekiya,eya injinerumaya sangrahaya wana athara ehi pradhana guwan agula apata dok kala heki smith atha bhawitha kara ema entena pokurata apawa agulu demiya hekiya,,,Singlish,155,24,False,False,False,
13170,smith atha bhawitha kara apawa ema entena pokurata agulu damanna eya bara usulana wyuhayak nowe parissam wanna,smith atha bhawitha kara apawa ema entena pokurata agulu damanna eya bara usulana wyuhayak nowe parissam wanna,,,Singlish,110,17,False,False,False,
13171,doktar vir mata oyawa palame kapithan matha awashyayi mama methanin awe oyage palama uda indaganna neweyi mata e newe inna one,doktar vir mata oyawa palame kapithan matha awashyayi mama methanin awe oyage palama uda indaganna neweyi mata e newe inna one,,,Singlish,126,21,False,False,False,
13172,kapithan mama methanin awe oyage palama uda indaganna neweyi mata e newe inna one newa araksha kalata passe api oyawa newata ekkan ennam,kapithan mama methanin awe oyage palama uda indaganna neweyi mata e newe inna one newa araksha kalata passe api oyawa newata ekkan ennam,,,Singlish,136,23,False,False,False,
13173,newa surakshitha wu pasu api obawa piligatha noheki newata gena ennemu,newa surakshitha wu pasu api obawa piligatha noheki newata gena ennemu,,,Singlish,70,11,False,False,False,
13177,ewata hethu wiya heki de haraye ethi de sankeerna we,ewata hethu wiya heki de haraye ethi de sankeerna we,,,Singlish,52,10,False,False,False,
13178,obata kopamana welawak awashyada yanna sankeernayi apata peya dahathayi winadi hathalis dekayi den madhyaye ethi de,obata kopamana welawak awashyada yanna sankeernayi apata peya dahathayi winadi hathalis dekayi den madhyaye ethi de,,,Singlish,115,16,False,False,False,
13179,eya weda kala nam eya weda kala nam ow,eya weda kala nam eya weda kala nam ow,,,Singlish,38,9,False,False,False,
13181,obata dinayata wada yamak thibe,obata dinayata wada yamak thibe,,,Singlish,31,5,False,False,False,
13186,mona magulakda e doktar mama danne ne,mona magulakda e doktar mama danne ne,,,Singlish,37,7,False,False,False,
13187,obage wisheshagna mathaya nam apata oben lebee ethi ekama pilithura wanne jastin siyadiwi nasa geneemata theth kala bawa mama nodanimi yanna pehediliwama minisa umathu wee etha,obage wisheshagna mathaya nam apata oben lebee ethi ekama pilithura wanne jastin siyadiwi nasa geneemata theth kala bawa mama nodanimi yanna pehediliwama minisa umathu wee etha,,,Singlish,176,26,False,False,False,
13188,apata newatha balaya lebenne netha apage wathaya naraka athata herenu etha wikirana kaban dayoksayid sandaha haraya pareeksha kireema apage karadarawalin awama wiya hekiya,apata newatha balaya lebenne netha apage wathaya naraka athata herenu etha wikirana kaban dayoksayid sandaha haraya pareeksha kireema apage karadarawalin awama wiya hekiya,,,Singlish,171,23,False,False,False,
13190,me newa kohe giyada koheda oya eka ewwe mama danne nehe,me newa kohe giyada koheda oya eka ewwe mama danne nehe,,,Singlish,55,11,False,False,False,
13191,pahugiya awurudu hathe kohe thibbada kiyala mama danne nehe,pahugiya awurudu hathe kohe thibbada kiyala mama danne nehe,,,Singlish,59,9,False,False,False,
13192,pahugiya awurudu hathe koheda mama danne nehe,pahugiya awurudu hathe koheda mama danne nehe,,,Singlish,45,7,False,False,False,
13193,e mokakda kiyala mama anith thena danne nehe,e mokakda kiyala mama anith thena danne nehe,,,Singlish,44,8,False,False,False,
13194,api oben iwathwa yanawa obe enawum nishchitha nowe,api oben iwathwa yanawa obe enawum nishchitha nowe,,,Singlish,50,8,False,False,False,
13195,meka karanna epa eka iwarayi,meka karanna epa eka iwarayi,,,Singlish,28,5,False,False,False,
13196,oyata mawa balanna eka karanna be,oyata mawa balanna eka karanna be,,,Singlish,33,6,False,False,False,
13197,mama oyata kiwwa eya oyata bellige puthawa dala yanna denne ne kiyala,mama oyata kiwwa eya oyata bellige puthawa dala yanna denne ne kiyala,,,Singlish,69,12,False,False,False,
13198,obe es mata thawaduratath ewa awashya netha api yana thena apata dekeemata es awashya nowe,obe es mata thawaduratath ewa awashya netha api yana thena apata dekeemata es awashya nowe,,,Singlish,90,15,False,False,False,
13199,mata ewa thawaduratath awashya netha api yana thenata oba katha karanne kumak deyi beleemata apata es awashya nowanu etha,mata ewa thawaduratath awashya netha api yana thenata oba katha karanne kumak deyi beleemata apata es awashya nowanu etha,,,Singlish,121,19,False,False,False,
13203,oya monawada danne,oya monawada danne,,,Singlish,18,3,False,False,False,
13204,oba dannawa oba yakshaya bawa ma wishwasa kireemata obata awashya bawa mama eya wikarayak nowe,oba dannawa oba yakshaya bawa ma wishwasa kireemata obata awashya bawa mama eya wikarayak nowe,,,Singlish,94,15,False,False,False,
13205,obata awashya wanne oba yakshaya bawa ma wishwasa kireemataya mama eya wikarayak nowe mama yakshaya nowe,obata awashya wanne oba yakshaya bawa ma wishwasa kireemataya mama eya wikarayak nowe mama yakshaya nowe,,,Singlish,104,16,False,False,False,
13206,mama yakshayek neweyi ehenam oya monawada mata kiyanne,mama yakshayek neweyi ehenam oya monawada mata kiyanne,,,Singlish,54,8,False,False,False,
13207,ethakota mama oyata pennuwoth oya monawada mata wada hondata kiyanna,ethakota mama oyata pennuwoth oya monawada mata wada hondata kiyanna,,,Singlish,68,10,False,False,False,
13208,yakshayek netha dewiyek netha oba boru kiyana kisiwak netha,yakshayek netha dewiyek netha oba boru kiyana kisiwak netha,,,Singlish,59,9,False,False,False,
13209,mamath ekata kemathi nehe namuth oba dannawa api yana emathum labaganna neethi reethi agulu dama agulu dama ethi patamalawayi,mamath ekata kemathi nehe namuth oba dannawa api yana emathum labaganna neethi reethi agulu dama agulu dama ethi patamalawayi,,,Singlish,125,19,False,False,False,
13210,jesuni e mokakda,jesuni e mokakda,,,Singlish,16,3,False,False,False,
13213,oba monawada kiyanna hadanne dewiyan wahanse minisata piyasara kireemata adahas kala nam ohu apata piyapath laba denne eweni deyak,oba monawada kiyanna hadanne dewiyan wahanse minisata piyasara kireemata adahas kala nam ohu apata piyapath laba denne eweni deyak,,,Singlish,130,19,False,False,False,
13216,apata yam kalagunayak thibe mama dutuwemi onema keneku niwase sitina bawa,apata yam kalagunayak thibe mama dutuwemi onema keneku niwase sitina bawa,,,Singlish,73,11,False,False,False,
13221,keptan milar smith oya koheda hitiye,keptan milar smith oya koheda hitiye,,,Singlish,36,6,False,False,False,
13222,smith oya koheda hitiye apita methana thathwayak thiyenawa,smith oya koheda hitiye apita methana thathwayak thiyenawa,,,Singlish,58,8,False,False,False,
13225,kapithan milar oba pitapath karanawa mama methana smith kohomada klak,kapithan milar oba pitapath karanawa mama methana smith kohomada klak,,,Singlish,69,10,False,False,False,
13227,sthuthiyi keptan apita prashnayak thiyenawa,sthuthiyi keptan apita prashnayak thiyenawa,,,Singlish,43,5,False,False,False,
13228,keptan apita den prashnayak thiyenawa mokakda kiyala,keptan apita den prashnayak thiyenawa mokakda kiyala,,,Singlish,52,7,False,False,False,
13229,den eya mata pitupasin siti de mama herunemi eya gos etha eya onema thenaka sitiya hekiya,den eya mata pitupasin siti de mama herunemi eya gos etha eya onema thenaka sitiya hekiya,,,Singlish,89,16,False,False,False,
13230,eya ma pitupasin sita mama heree eya giya eya kohe ho sitiya heka diyath kireemata klek eka sudanam karanna mama eyawa soya gannemi,eya ma pitupasin sita mama heree eya giya eya kohe ho sitiya heka diyath kireemata klek eka sudanam karanna mama eyawa soya gannemi,,,Singlish,131,23,False,False,False,
